,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,kavieng,PG,64.0,2018-11-26,100.0,-2.57,150.8,84.66,10.22
2,dingle,PH,0.0,2018-11-26,71.0,11.0,122.67,80.39,12.8
3,rikitea,PF,48.0,2018-11-26,99.0,-23.12,-134.97,78.05,9.1
4,ushuaia,AR,20.0,2018-11-26,61.0,-54.81,-68.31,50.0,28.86
5,puerto escondido,MX,40.0,2018-11-26,70.0,15.86,-97.07,84.2,3.36
6,alofi,NU,75.0,2018-11-26,66.0,-19.06,-169.92,86.0,9.17
7,rodrigues alves,BR,40.0,2018-11-26,100.0,-7.74,-72.65,75.2,1.12
8,mahebourg,MU,75.0,2018-11-26,94.0,-20.41,57.7,77.0,16.11
9,mus,FR,0.0,2018-11-26,65.0,43.74,4.2,50.0,5.82
10,san angelo,US,1.0,2018-11-26,32.0,31.46,-100.44,55.04,5.82
11,pisco,PE,75.0,2018-11-26,30.0,-13.71,-76.2,71.6,16.11
12,juliaca,PE,90.0,2018-11-26,81.0,-15.49,-70.13,46.4,8.05
13,inzer,RU,76.0,2018-11-26,86.0,54.22,57.56,15.18,3.85
14,busselton,AU,0.0,2018-11-26,100.0,-33.64,115.35,57.62,11.23
15,kirovskiy,RU,92.0,2018-11-26,88.0,45.09,133.51,33.59,8.66
16,saint-philippe,CA,90.0,2018-11-26,93.0,45.36,-73.48,37.4,10.29
17,cervo,BR,36.0,2018-11-26,94.0,-22.19,-46.24,63.56,3.62
18,cayenne,GF,90.0,2018-11-26,94.0,4.94,-52.33,75.2,2.24
19,mataura,NZ,0.0,2018-11-26,65.0,-46.19,168.86,67.07,8.1
20,hobart,AU,75.0,2018-11-26,77.0,-42.88,147.33,59.0,5.82
21,tasiilaq,GL,20.0,2018-11-26,58.0,65.61,-37.64,24.8,3.36
22,taksimo,RU,56.0,2018-11-26,41.0,56.36,114.84,-1.61,6.2
23,segezha,RU,20.0,2018-11-26,98.0,63.74,34.31,15.95,5.41
24,husavik,CA,20.0,2018-11-26,75.0,50.56,-96.99,9.65,10.78
25,geraldton,CA,90.0,2018-11-26,78.0,49.72,-86.95,14.0,4.7
26,luderitz,NA,0.0,2018-11-26,88.0,-26.65,15.16,56.85,15.03
27,manzhouli,CN,32.0,2018-11-26,41.0,49.6,117.43,7.8,23.53
28,atuona,PF,68.0,2018-11-26,100.0,-9.8,-139.03,78.45,13.8
29,pacific grove,US,1.0,2018-11-26,49.0,36.62,-121.92,69.98,3.06
30,kodiak,US,64.0,2018-11-26,93.0,39.95,-94.76,20.4,8.77
31,avarua,CK,40.0,2018-11-26,61.0,-21.21,-159.78,80.6,5.82
32,agudos,BR,0.0,2018-11-26,65.0,-22.47,-48.99,77.0,10.29
33,coihaique,CL,0.0,2018-11-26,47.0,-45.58,-72.07,59.0,4.7
34,agadir,MA,40.0,2018-11-26,87.0,30.42,-9.58,60.8,4.29
35,airai,TL,32.0,2018-11-26,92.0,-8.93,125.41,76.07,0.94
36,broken hill,AU,92.0,2018-11-26,100.0,-31.97,141.45,60.63,8.99
37,gruiu,RO,90.0,2018-11-26,100.0,44.23,26.42,37.4,2.24
38,chuy,UY,80.0,2018-11-26,76.0,-33.69,-53.46,65.09,12.24
39,rancho veloz,CU,40.0,2018-11-26,65.0,22.88,-80.39,78.8,4.7
40,tuktoyaktuk,CA,75.0,2018-11-26,77.0,69.44,-133.03,6.8,14.99
41,kurilsk,RU,0.0,2018-11-26,89.0,45.23,147.88,45.47,15.7
